,url,originalTitle,description,averageRating,numVotes,metascore
0,https://www.imdb.com/title/tt27706593/,The Rivals of Amziah King,"Kateri loses her mother, leaves foster care. Reunites with former foster parent Amziah who mentors her, revealing hidden skills. Faces devastating situation, relies on newfound strength to seek justice.",8.3,198.0,65.0
1,https://www.imdb.com/title/tt21103218/,The Lost Bus,A wayward school bus driver and a dedicated school teacher battle to save 22 children from a terrifying inferno.,6.9,22434.0,64.0
2,https://www.imdb.com/title/tt31937790/,Superhuman Body: World of Medical Marvels,"Explores the work of scientists and bioengineers who are behind groundbreaking medical innovations, such as CAR T-cell immunotherapy and the inner workings of the human body for treating blood cancers like leukemia.",6.9,24.0,
3,https://www.imdb.com/title/tt27590028/,The Oscars,"The 96th Academy Awards, held on March 10th, 2024 from the Dolby Threatre in Hollywood and hosted by comedian Jimmy Kimmel for the fourth time. The cultural phenomenon of ""Barbenheimer"" in six different categories is a recurring theme.",6.7,1566.0,
4,https://www.imdb.com/title/tt29580199/,Unsolved Mysteries: Behind the Legacy,"A tribute to the iconic series that shaped future generations of true crime TV, featuring interviews with the creators and exclusive behind-the-scenes footage.",7.3,104.0,
5,https://www.imdb.com/title/tt23219702/,2023 CMT Music Awards,,6.0,61.0,
6,https://www.imdb.com/title/tt10814036/,Agent Elvis,Elvis trades in his jumpsuit for a jetpack when he joins a secret government spy program to help battle the dark forces that threaten the country.,6.8,2830.0,
7,https://www.imdb.com/title/tt18967390/,Deep in the Heart: A Texas Wildlife Story,"A visually stunning celebration of what makes Texas unique, its diverse landscapes and remarkable wildlife behavior that cannot be found anywhere else in the world.",7.6,259.0,
8,https://www.imdb.com/title/tt13819950/,Stephen A's World,ESPN commentator Stephen A. Smith hosts this new show featuring his unfiltered take on all the day's biggest sports stories.,4.5,39.0,
9,https://www.imdb.com/title/tt14477048/,Oscars: Into the Spotlight,,5.7,27.0,
10,https://www.imdb.com/title/tt12688170/,The Kids Tonight Show,Kids version of 'The Tonight Show'.,5.3,65.0,
11,https://www.imdb.com/title/tt6467266/,Sing 2,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,7.3,97983.0,49.0
12,https://www.imdb.com/title/tt12599288/,Uncomfortable Conversations with a Black Man,A conversation with Emmanuel Acho about race that many white people have never been able to have.,6.4,24.0,
13,https://www.imdb.com/title/tt12179810/,The Anytime Show with Mister H. I.,"Meet Mister H. I.. He's the host of the all-new series, ""The Anytime Show"". As king of the Hollywood Insider jungle, Mister H. I. or simply Mr. Hi, has his paws on the ground and his mane in the clouds as he provides a much-needed dose of laughter with his unique commentary on all things entertainment. This fierce host also plans to bring viewers up to speed on current events, whether they are funny, serious, good, or bad - he'll deliver it all with his signature wit and posh English charm. The Anytime Show premiered on April 17, 2020 exclusively on Hollywood Insider's YouTube channel. From his animated studio on Hollywood Insider's back-lot, Mr. Hi brings all things Hollywood right to your screen. Adorned with various entertainment trophies (Oscar, BAFTA, SAG, Golden Globes, Grammy, Emmys) and accolades lining his shelf, The Anytime Show set is visually appealing with vertical oak shiplap walls accompanied by Mr. Hi's personalized director's chair. A visual spectacle with a captivating host guiding his audience on a tour of current events?",5.8,33.0,
14,https://www.imdb.com/title/tt11358806/,Cup of Joe,"Travel, photography and adventure with Joe Jonas.",7.4,85.0,
15,https://www.imdb.com/title/tt13308412/,Drew & A,Drew McIntyre and guest will discussions about wrestling and beyond.,4.6,14.0,
16,https://www.imdb.com/title/tt10171532/,The Oprah Conversation,"Oprah will lead timely and intimate discussions with today's foremost newsmakers, thought leaders, and masters of their craft.",4.0,448.0,
17,https://www.imdb.com/title/tt9821508/,IMDb at SXSW,"IMDb hits the streets of Austin with our film crew to cover all of the major red carpets, activations and interviews featuring the cast and filmmakers of up-and-coming films.",6.5,32.0,
18,https://www.imdb.com/title/tt8367814/,The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.8,443386.0,51.0
19,https://www.imdb.com/title/tt6476140/,Serenity,A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.,5.4,48361.0,37.0
20,https://www.imdb.com/title/tt6511932/,The Beach Bum,A rebellious stoner named Moondog lives life by his own rules.,5.5,26225.0,55.0
21,https://www.imdb.com/title/tt9398640/,Between Two Ferns: The Movie,Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,6.1,38487.0,59.0
22,https://www.imdb.com/title/tt11568358/,eTalk Presents: TIFF 2018 presented by Bell,"TV1 takes viewers backstage as ETALK hosts and producers offer a glimpse of all the action, and what it takes to cover one of the world's biggest film festivals. From the glamour of the first weekend, to the inner workings of a red carpet with some the biggest names in entertainment, ETALK will produce 10 mini-documentaries that will each profile a celebrated film or experience from TIFF 2018, available only on Fibe TV, Channel 1.",,,
23,https://www.imdb.com/title/tt8027544/,The Oscars Opening Ceremony: Live from the Red Carpet,,7.9,39.0,
24,https://www.imdb.com/title/tt4537896/,White Boy Rick,"The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",6.5,47419.0,59.0
25,https://www.imdb.com/title/tt10452542/,Harvey Can't Mess with Texas,,,,
26,https://www.imdb.com/title/tt3180122/,John G. Avildsen: King of the Underdogs,An examination of the Oscar-winning director who brought to life some of cinema's most beloved motion pictures.,7.6,186.0,
27,https://www.imdb.com/title/tt6634050/,The Envelope,,5.4,21.0,
28,https://www.imdb.com/title/tt7770020/,U2 at the BBC,,7.4,65.0,
29,https://www.imdb.com/title/tt6391108/,Big Fan,Celebrities compete against their biggest fans on a game show.,4.9,63.0,
30,https://www.imdb.com/title/tt1648190/,The Dark Tower,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,5.6,152938.0,34.0
31,https://www.imdb.com/title/tt32028245/,The Actor's Side with Pete Hammond,Pete Hammond of Deadline Hollywood sits down with the cream of the crop in the acting world for comprehensive discourse on their careers and creative processes.,,,
32,https://www.imdb.com/title/tt6408336/,Rock the Troops,,5.1,14.0,
33,https://www.imdb.com/title/tt5816346/,Stand Up to Cancer,,6.7,31.0,
34,https://www.imdb.com/title/tt6198486/,The 50th Annual CMA Awards,,7.7,27.0,
35,https://www.imdb.com/title/tt4302938/,Kubo and the Two Strings,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,7.7,144572.0,84.0
36,https://www.imdb.com/title/tt3470600/,Sing,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",7.1,207201.0,59.0
37,https://www.imdb.com/title/tt1124037/,Free State of Jones,A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,6.9,67228.0,53.0
38,https://www.imdb.com/title/tt1800302/,Gold,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",6.7,72940.0,49.0
39,https://www.imdb.com/title/tt11859078/,The American Cinematheque Tribute to Reese Witherspoon,,,,
40,https://www.imdb.com/title/tt4459236/,The Friars Club Super Bowl Roast of Terry Bradshaw,,7.8,13.0,
41,https://www.imdb.com/title/tt5087172/,Think It Up,,,,
42,https://www.imdb.com/title/tt5070048/,IMDb Asks,IMDb Asks gets the answers to the burning questions fans have for Hollywood's best and brightest.,7.0,198.0,
43,https://www.imdb.com/title/tt3450900/,The Sea of Trees,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,6.1,19431.0,23.0
44,https://www.imdb.com/title/tt32246098/,Bustle: YouTube Channel,"Celebrity discussions, lifestyle tips, and inspiring stories brought to you by Bustle magazine.",,,
45,https://www.imdb.com/title/tt3410698/,The 2014 Film Independent Spirit Awards,,6.1,55.0,
46,https://www.imdb.com/title/tt4415360/,The Science of Interstellar,"The Science of Christopher Nolan's Sci-Fi, Interstellar.",7.1,689.0,
47,https://www.imdb.com/title/tt4172224/,Interstellar: Nolan's Odyssey,,7.0,225.0,
48,https://www.imdb.com/title/tt0816692/,Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,2418299.0,74.0
49,https://www.imdb.com/title/tt2356777/,True Detective,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",8.9,724219.0,
50,https://www.imdb.com/title/tt3216832/,Secret Lives of the Super Rich,"Secret Lives of the Super Rich"" unlocks the mansion gates and scores you the ultimate VIP access to an exclusive world filled with unimaginable extravagance and enormous fortunes.",5.9,79.0,
51,https://www.imdb.com/title/tt3391950/,The Hollywood Reporter in Focus,,5.9,15.0,
52,https://www.imdb.com/title/tt3281320/,The Hollywood Reporter Roundtables,,5.8,51.0,
53,https://www.imdb.com/title/tt0790636/,Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",7.9,540391.0,77.0
54,https://www.imdb.com/title/tt0993846/,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,1728331.0,75.0
55,https://www.imdb.com/title/tt1725029/,Man in the Glass: The Dale Brown Story,"A documentary that tells the story of Dale Brown, the legendary LSU basketball coach (1972-1997). The film boasts an all-star cast including Matthew McConaughey, Shaquille O'Neal, John Wooden, Dick Vitale and Tim Brando. The film chronicles his battles with the NCAA, his successful campaign to have a prisoner released and ultimately pardoned from Angola State Penitentiary, his efforts on behalf of native Americans and his life-long commitment to his players. This is not the story of a basketball coach; this is the story of an amazing and unique man who happened to coach basketball.",7.9,13.0,
56,https://www.imdb.com/title/tt2276210/,The Hollywood Fast Lane,,6.2,44.0,
57,https://www.imdb.com/title/tt2185933/,IC Places Hollywood,"A weekly recap of everything that is hot in the world of movies, music, fashion and books.",5.5,45.0,
58,https://www.imdb.com/title/tt2226228/,A Moment With,,4.9,28.0,
59,https://www.imdb.com/title/tt1915581/,Magic Mike,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",6.1,151235.0,72.0
60,https://www.imdb.com/title/tt1935179/,Mud,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,7.4,196847.0,76.0
61,https://www.imdb.com/title/tt1496422/,The Paperboy,A reporter returns to his Florida hometown to investigate a case involving a death row inmate.,5.7,41354.0,45.0
62,https://www.imdb.com/title/tt2132638/,Close Up,"These collections of biographies, which were primarily intended for the Asian market, were filmed in English and then translated into the various languages of the network's countries of origin.",6.2,63.0,
63,https://www.imdb.com/title/tt1625351/,The 83rd Annual Academy Awards,,6.3,1669.0,
64,https://www.imdb.com/title/tt1189340/,The Lincoln Lawyer,"Defence lawyer Mick Haller lands a case defending a wealthy realtor's son who is accused of raping a prostitute. Believing his client to be innocent, Haller soon finds evidence that proves otherwise.",7.3,265458.0,63.0
65,https://www.imdb.com/title/tt1726669/,Killer Joe,"When a debt puts a young man's life in danger, he turns to putting a hit out on his evil mother in order to collect the insurance.",6.7,86779.0,62.0
66,https://www.imdb.com/title/tt1704573/,Bernie,"In small-town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp.",6.8,66379.0,75.0
67,https://www.imdb.com/title/tt1316064/,Made in China,"A confident young man with a unique style and a solid entrepreneurial spirit has made it his mission to bring the small pleasures in life to a global market. As an aspiring inventor inspired by history's most infamous jokesters, he's determined to jump through all the hoops in order to realize his dreams. When he's not taken seriously amongst the locals stateside, he takes it upon himself to travel to Shanghai and broker a manufacturing deal on his own. Lost in Shanghai, Johnson discovers that it takes more than a bright idea to succeed. It takes guts, determination, and a fist full of sneezing powder.",5.8,278.0,
68,https://www.imdb.com/title/tt0821640/,Ghosts of Girlfriends Past,"While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends.",5.8,97964.0,34.0
69,https://www.imdb.com/title/tt0976247/,"Surfer, Dude",A wave twisting tale of a soul searching surfer experiencing an existential crisis.,4.6,9433.0,16.0
70,https://www.imdb.com/title/tt0770752/,Fool's Gold,A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,5.7,88071.0,29.0
71,https://www.imdb.com/title/tt6282514/,The Role That Changed My Life,,4.1,27.0,
72,https://www.imdb.com/title/tt0800104/,Keith Barry: Extraordinary,,7.7,42.0,
73,https://www.imdb.com/title/tt0875887/,Fuse Celebrity Playlist,"All new countdown show where Fuse spotlights celebrities counting down the music videos they love, while giving you sneak peak at their latest movies, TV shows, albums, and more.",3.6,18.0,
74,https://www.imdb.com/title/tt0934911/,MovieReal: We Are Marshall,,7.8,33.0,
75,https://www.imdb.com/title/tt0950474/,What It Takes,,6.2,32.0,
76,https://www.imdb.com/title/tt0427229/,Failure to Launch,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.,5.7,92324.0,47.0
77,https://www.imdb.com/title/tt0758794/,We Are Marshall,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive.",7.1,66997.0,53.0
78,https://www.imdb.com/title/tt0450351/,My Crazy Life,,7.0,27.0,
79,https://www.imdb.com/title/tt0478966/,Absolute Evel: The Evel Knievel Story,,7.1,39.0,
80,https://www.imdb.com/title/tt0847883/,Making Dazed,"This Actual Reality Pictures original documentary (directed by Kahane Corn) reunites the cast of Dazed and Confused and features behind-the-scenes footage from the making of the film. A decade after the hit comedy's 1993 release, director Richard Linklater reunited the cast -- Ben Affleck, Matthew McConaughey, Parker Posey and Adam Goldberg -- to celebrate the ten year anniversary of the film that helped launch their careers. Now you can watch the cast look back on the movie that changed their lives and on the decade that has passed since.",7.8,103.0,
81,https://www.imdb.com/title/tt0417217/,Two for the Money,"After suffering a career-ending knee injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business.",6.2,52867.0,50.0
82,https://www.imdb.com/title/tt0318649/,Sahara,"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.",6.1,107670.0,41.0
83,https://www.imdb.com/title/tt0356622/,Frat Boys,,5.4,30.0,
84,https://www.imdb.com/title/tt0361185/,Freedom: A History of US,A sixteen episode mini-series of the history of America.,5.6,507.0,
85,https://www.imdb.com/title/tt0251127/,How to Lose a Guy in 10 Days,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days.",6.5,307169.0,45.0
86,https://www.imdb.com/title/tt1058545/,The Lost Dinosaurs of Egypt,,6.7,16.0,
87,https://www.imdb.com/title/tt0316768/,Tiptoes,The story of a peculiar love triangle involving two brothers.,4.2,6557.0,
88,https://www.imdb.com/title/tt0253556/,Reign of Fire,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.",6.2,150764.0,39.0
89,https://www.imdb.com/title/tt0268690/,Thirteen Conversations About One Thing,"In New York City, the lives of a lawyer, an actuary, a house-cleaner, a professor and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability.",7.0,11787.0,74.0
90,https://www.imdb.com/title/tt0264616/,Frailty,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to destroy people who were in fact ""demons.""",7.2,97621.0,64.0
91,https://www.imdb.com/title/tt0209475/,The Wedding Planner,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,5.4,91288.0,33.0
92,https://www.imdb.com/title/tt5032110/,Nulle part ailleurs: midi,,6.8,7.0,
93,https://www.imdb.com/title/tt0141926/,U-571,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,6.6,90869.0,62.0
94,https://www.imdb.com/title/tt0131369/,EDtv,A video store clerk agrees to have his life filmed by a camera crew for a television show.,6.1,46329.0,49.0
95,https://www.imdb.com/title/tt0287789/,Waking in Mississippi,"Waking in Mississippi explores the power of the national media to, surprisingly, mitigate long held animosities resulting from a legacy of slavery and Jim Crow. The irony of Hollywood fabricating a race riot for the sake of A Time to Kill provides a framework for presenting the complexity of race relations in a historically troubled region. Less than a year prior to filming, National Guardsmen were alerted to the possibility of actual race rioting in the town square, during federally monitored run-off election. Using footage of the movie production, scenes from the 1996 local premiere in Jackson, film clips, and interviews with writer John Grisham, director Joel Shumacher, actor Samuel Jackson and members of the film crew, we investigate the temporary and permanent effects of Hollywood's takeover of Canton. Local residents relate their personal experiences as extras and comment on the impact of the racially charged blockbuster. We incorporate local and national media coverage of the production, placing special emphasis on the commercial negotiations of the town's history.",7.3,20.0,
96,https://www.imdb.com/title/tt0773260/,Bravo Profiles: The Entertainment Business,"It essentially peers through a microscope at celebrity culture in general, at the film industry and its marketing might.",6.4,126.0,
97,https://www.imdb.com/title/tt0120769/,The Newton Boys,"The story of the Newton gang, the most successful bank robbers in history, owing to their good planning and minimal violence.",6.1,13003.0,57.0
98,https://www.imdb.com/title/tt0118884/,Contact,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",7.5,307168.0,62.0
99,https://www.imdb.com/title/tt0118607/,Amistad,"In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",7.3,86250.0,64.0
